3004;26.79;26.25
3004;26.81;26.56
3004;26.81;26.72
3004;26.82;26.56
3004;26.80;26.56
6003;26.50;26.56
6003;26.51;26.56
6003;26.51;26.56
6003;26.50;26.56
6003;26.51;26.56
3002;16.63;16.94
3002;16.64;16.94
3002;16.64;16.94
3002;16.63;16.94
3002;16.64;16.94
6001;17.05;17.50
6001;17.04;17.19
6001;17.05;17.66
6001;17.05;17.19
6001;17.05;17.19
3004;26.86;26.39
3004;26.76;26.39
3004;26.81;26.04
3004;26.77;26.04
3004;26.79;26.04
6001;17.02;16.67
6001;17.01;16.67
6001;17.01;16.67
6001;17.01;16.67
6001;17.02;16.67
3002;16.61;15.97
3002;16.60;16.32
3002;16.60;16.32
3002;16.60;16.67
3002;16.59;16.32
6003;26.41;26.36
6003;26.42;25.91
6003;26.44;26.36
6003;26.43;26.36
6003;26.42;26.36

